Dict_name,Site,Mode,HA_var,HA_M2_var,HA_S2_var,Start_date,Var_residual,Var_model_fit,Whittle_value,η_c,α_c,η_S2,τ_S2,γ_S2,η_M2,τ_M2,γ_M2,season
KIM200_P17_0,KIM200,0,82.86568515304828,53.51505334475105,29.603818522789233,2012-02-02,36.569128504216245,37.38672399538221,-2628.6850059755966,5.6415791370598845,0.9635968263872888,2.9387995594796856,15.169435843002212,0.9924677781553092,2.709889145994923,10.383667515987554,1.0033892841280063,Feb-Apr
KIM200_P17_0,KIM200,1,2.9870701025545427,0.7990576526289274,1.5806286514878016,2012-02-02,30.2315988193024,29.288355089162426,-3169.9005049425073,5.296568963447657,1.006068608696162,2.373394900482954,4.006292831766838,1.000531107155152,2.209347726738576,4.215567825249463,1.0002786089970428,Feb-Apr
KIM200_P17_0,KIM200,2,2.000160918705333,1.0296600193366596,0.7995315799454936,2012-02-02,13.323398026682503,13.27867533638311,-5047.645731989671,3.872588767890309,1.2137965517876463,1.1621889855182455,6.443074005099335,1.8180816031253568,1.8853604415550684,0.049007543451645395,0.2411832127832067,Feb-Apr
KIM200_P17_1,KIM200,0,84.82078928000115,34.57316475598383,32.21391635315636,2012-04-22,38.37037010718875,36.560821205762934,-3030.428218609964,4.9232273535415985,0.8974718836245755,0.00040963030349291387,0.338625353482496,0.2106761759781066,4.506570795096663,5.470193122941458,1.8626278735639443,May-Jul
KIM200_P17_1,KIM200,1,14.12634919475998,9.077822029287663,2.4168301070584235,2012-04-22,29.89708566757312,29.821508602010645,-2651.669996411837,5.26571292144466,0.8951006718736402,1.6487532920996377,6.962863969657327,0.9903463802625486,2.9349703617604352,5.999110792986044,1.0036739188267891,May-Jul
KIM200_P17_1,KIM200,2,2.56270175627726,1.7760266547908707,0.1628248920597448,2012-04-22,11.849650593319243,11.489543534270835,-4744.615962769038,3.600482314439153,0.9115452645081714,0.5796229479974008,12.562726014351055,0.9983453789732447,1.5837923043867963,2.097481577369132,0.9965057152292134,May-Jul
KIM200_P18_0,KIM200,0,50.59891660972443,29.656720446535836,17.974367661538885,2012-08-11,39.816180371435486,39.758008090618134,-1813.5051665835385,5.633303368985285,0.7643272055207752,0.0,5.56269131498904e-309,1.9545602246825904,4.438405473777473,3.195708845878023,1.9934604321289484,Aug-Oct
KIM200_P18_0,KIM200,1,13.720090850960482,10.485972780709085,2.4468630233775737,2012-08-11,44.98578190774872,43.25808586333526,-1825.8493846091226,6.29660367343316,0.9282402606299931,2.2805267603247295,5.516609807328359,1.0009788660670464,3.4246999981966373,2.1807859248121453,0.989993011412007,Aug-Oct
KIM200_P18_0,KIM200,2,2.843657422584035,1.7147534362957242,0.8956163124065212,2012-08-11,15.372085335864556,19.109161436592373,-4388.129253146848,4.205657162660626,1.1911491362976836,1.012461579717264,8.92474746733173,1.9952737263378133,3.0795480235654145,3.325701311459286e+48,0.0054597535828038455,Aug-Oct
KIM200_P18_1,KIM200,0,84.77834900202522,70.19213863211083,5.724716203419652,2012-10-30,58.7902273073192,59.239572297819464,-3392.0450004193526,5.02898315139307,1.003372819219454,2.14946233620184,9.2520039258471,0.9962790099226584,6.145442497872748,14.92719591194518,0.99694762575377,Nov-Jan
KIM200_P18_1,KIM200,1,4.742094869970745,0.5776404410405751,3.4682896882310033,2012-10-30,48.4679450001451,48.649728922728755,-2232.365972581336,5.823434572950028,1.168737692066052,9.817048774052514e-95,1.3169598548217246e-17,1.3516998415523445,5.587112655980179,0.784558619020206,0.44827009631553505,Nov-Jan
KIM200_P18_1,KIM200,2,5.913807765424225,3.2803760487536695,1.5115942123915933,2012-10-30,12.134160617748705,12.193303061974175,-5149.042618727448,3.5324455801621384,1.1261977274203605,0.0,9.946468569416517e-61,0.8045265050340114,2.2506425512814374,0.7056805721336209,0.2872905265641512,Nov-Jan
KIM200_P19_0,KIM200,0,103.26786439083243,72.43156803662191,24.31087679403594,2013-01-27,39.0246108184031,39.553025820453925,-2786.1864141733313,5.131876557857243,0.8979203547420085,1.3178228694378638,12.047898303523723,1.0022975007603154,4.502782977038577,10.843854677410002,0.9957047229495175,Feb-Apr
KIM200_P19_0,KIM200,1,5.991825118501465,5.048219744587788,0.097801560020357,2013-01-27,46.22932348540419,45.55804829082467,-2793.5540551829667,5.673731442792141,1.0169639755540199,3.613268248990101,2.177346251292162,0.9987625929165207,3.3586127621567083,4.987540626959644,0.9992796469592522,Feb-Apr
KIM200_P19_0,KIM200,2,2.89277549199614,2.1054468421381745,0.15898016743021287,2013-01-27,14.134264052451535,14.142012637115377,-4845.55872543264,1.6056556890894549,0.7366120758459914,3.494986231152659,0.06823677593393357,0.9988981211483808,1.9583122170713618,2.9813902336205986,1.0015103104963934,Feb-Apr
KIM200_P19_1,KIM200,0,78.8989196278298,62.439687155796165,12.266237554372477,2013-04-17,33.82523147572595,35.1776836010475,-2764.621457069425,5.688144227601998,0.9991179267185607,1.6728305030244583,9.388988101312043,0.9915969721820268,3.267459662555429,5.840741158835291,1.004705547380939,May-Jul
KIM200_P19_1,KIM200,1,10.015874315700799,0.2868956601946992,9.041990627961074,2013-04-17,47.6379791150317,47.720218066565415,-2390.5873193579537,6.236621599662635,1.0276383219858278,2.3186679225593463,3.5664901222590015,1.0012240885974957,4.064677643615264,3.5170117686681497,0.9973323832214371,May-Jul
KIM200_P19_1,KIM200,2,0.9372528973302051,0.26222101203365916,0.32360961884218886,2013-04-17,17.896629011178245,17.466366519259225,-4558.083402156825,3.8938104480477476,0.9633552221451852,1.3372007707910158,1.8107872324084098,1.0022474585105143,2.356716203357511,6.114559843565859,0.9971193560486149,May-Jul
KIM200_P20_0,KIM200,0,96.46904585593697,65.42900653927471,21.918724142269134,2013-07-25,30.075429420931258,30.98739799065741,-2285.687780433019,5.193336154003676,0.7829665540988268,2.254507488838582,5.654836219026548,1.008220739550095,2.9529620770703526,9.551707125062903,0.9857469396461744,Aug-Oct
