Dict_name,Site,Mode,HA_var,HA_M2_var,HA_S2_var,Start_date,Var_residual,Var_model_fit,Whittle_value,η_c,α_c,η_D2,τ_D2,γ_D2,season
KIM200_P17_0,KIM200,0,82.86568515304828,53.51505334475105,29.603818522789233,2012-02-02,36.569128504216245,37.84653949891734,-2632.386912844113,5.667946274953788,0.9663908347368302,4.0203940167469465,4.581078647593679,1.999999999998233,Feb-Apr
KIM200_P17_0,KIM200,1,2.9870701025545427,0.7990576526289274,1.5806286514878016,2012-02-02,30.2315988193024,29.480764355159707,-3169.356462492422,5.274306018402107,1.003568832360696,3.3029039575191743,3.214664315995623,1.0033887904171725,Feb-Apr
KIM200_P17_0,KIM200,2,2.000160918705333,1.0296600193366596,0.7995315799454936,2012-02-02,13.323398026682503,13.590854921084564,-5048.993588170481,3.822794576180612,1.2006009085936218,2.333715270318707,0.9557286186197936,0.21451086692556892,Feb-Apr
KIM200_P17_1,KIM200,0,84.82078928000115,34.57316475598383,32.21391635315636,2012-04-22,38.37037010718875,39.17666861023921,-3027.089618447846,4.913444774539391,0.8958047544694212,4.795053494902623,4.461163419545451,1.9999999999995128,May-Jul
KIM200_P17_1,KIM200,1,14.12634919475998,9.077822029287663,2.4168301070584235,2012-04-22,29.89708566757312,29.81108856290999,-2653.401156930294,5.316948988178706,0.9019644183815967,3.290611712947534,3.5037728390132084,1.999999999999193,May-Jul
KIM200_P17_1,KIM200,2,2.56270175627726,1.7760266547908707,0.1628248920597448,2012-04-22,11.849650593319243,11.498285868329752,-4742.5468269254925,3.5903060509483717,0.9096861836812286,1.7085054959903108,1.8892170257258418,1.0011226994084208,May-Jul
KIM200_P18_0,KIM200,0,50.59891660972443,29.656720446535836,17.974367661538885,2012-08-11,39.816180371435486,41.06931147083496,-1812.4285944806302,5.643684667257579,0.766503171246105,4.571957086176013,3.68857610068911,1.954107763190138,Aug-Oct
KIM200_P18_0,KIM200,1,13.720090850960482,10.485972780709085,2.4468630233775737,2012-08-11,44.98578190774872,48.841719824244386,-1840.89763476387,6.0811612397758585,1.2351684912894123,5.7153576868950005,1.393796580299073,0.22222060403449148,Aug-Oct
KIM200_P18_0,KIM200,2,2.843657422584035,1.7147534362957242,0.8956163124065212,2012-08-11,15.372085335864556,14.49417542126422,-4365.545775217448,3.9566889291528833,0.9369422860650758,2.0044529935248483,2.8758660643149248,0.9994986002031254,Aug-Oct
KIM200_P18_1,KIM200,0,84.77834900202522,70.19213863211083,5.724716203419652,2012-10-30,58.7902273073192,59.27859140872491,-3382.8475644102546,4.999620687629381,1.0003826541633387,6.5351260940684694,9.128055007968777,0.9997506717328474,Nov-Jan
KIM200_P18_1,KIM200,1,4.742094869970745,0.5776404410405751,3.4682896882310033,2012-10-30,48.4679450001451,48.521561216738924,-2232.658962370429,5.937418991600337,1.1878426512528169,5.495114970106931,0.8792920239866868,0.41613401657733085,Nov-Jan
KIM200_P18_1,KIM200,2,5.913807765424225,3.2803760487536695,1.5115942123915933,2012-10-30,12.134160617748705,11.599783058096447,-5144.417191815345,3.682146004306775,1.009600655760833,1.5810088506228728,3.229740527093222,1.0017244635189875,Nov-Jan
KIM200_P19_0,KIM200,0,103.26786439083243,72.43156803662191,24.31087679403594,2013-01-27,39.0246108184031,40.23817842213338,-2779.2220091043005,5.122477152367232,0.8969301489066037,4.775185022708336,8.11943520389208,1.0018726162508003,Feb-Apr
KIM200_P19_0,KIM200,1,5.991825118501465,5.048219744587788,0.097801560020357,2013-01-27,46.22932348540419,45.8159025801504,-2792.4655194817165,5.659242507974004,1.0156681920422035,4.976185696877233,2.691967804136591,1.0007565706700943,Feb-Apr
KIM200_P19_0,KIM200,2,2.89277549199614,2.1054468421381745,0.15898016743021287,2013-01-27,14.134264052451535,13.943684244752767,-4836.848701609005,3.8203115855212717,0.9960338147858956,2.0529146461427343,2.0134296520652155,0.9999491928621161,Feb-Apr
KIM200_P19_1,KIM200,0,78.8989196278298,62.439687155796165,12.266237554372477,2013-04-17,33.82523147572595,35.11254184790914,-2768.0548166294616,5.71155510442979,1.0007962734973446,3.620208123189723,3.04298192728832,1.9999999999997655,May-Jul
KIM200_P19_1,KIM200,1,10.015874315700799,0.2868956601946992,9.041990627961074,2013-04-17,47.6379791150317,47.50139504117517,-2393.713071858641,6.358659182116656,1.0380589513310001,4.505688708914265,2.527195162763943,1.9999999999966236,May-Jul
KIM200_P19_1,KIM200,2,0.9372528973302051,0.26222101203365916,0.32360961884218886,2013-04-17,17.896629011178245,17.535271102782545,-4556.441084980941,3.8903998145548733,0.9628571642115245,2.7268664138802596,3.7127043846146295,0.9978347355624447,May-Jul
KIM200_P20_0,KIM200,0,96.46904585593697,65.42900653927471,21.918724142269134,2013-07-25,30.075429420931258,30.479196785503117,-2289.551607776575,5.2248887343926835,0.7881284838584599,3.5939427152208143,3.2066283589025026,1.9999999999973732,Aug-Oct
KIM200_P20_0,KIM200,1,13.420928917724167,4.401457689817556,7.575591822081923,2013-07-25,31.99134674510523,32.2023107363661,-2210.490748005179,5.70748492837844,0.895246360506022,3.2528215671455922,2.648064639369337,0.999770551904563,Aug-Oct
KIM200_P20_0,KIM200,2,1.1514564844133959,0.19058414239393723,0.6822754087216893,2013-07-25,13.774608396527553,13.441377734239278,-4624.173600789459,3.5199919633812744,0.8656013831891836,2.3008858262781575,2.8431078254536453,1.0000060159771296,Aug-Oct
KIM200_P20_1,KIM200,0,63.16024026308602,41.90230047106678,14.01071338570366,2013-10-13,45.238230991255065,47.547875142670264,-2451.2128862213026,5.626951522384493,0.9238536482953036,5.122048286306535,5.420623038187332,1.9999999999997344,Nov-Jan
KIM200_P20_1,KIM200,1,4.701917099874334,4.017412116567586,0.495585643768609,2013-10-13,43.18615003385566,42.29412453989955,-2571.9499870525137,5.7342699397135295,0.971881038081786,4.483596049561966,2.493638710917828,1.9999999999961529,Nov-Jan
KIM200_P20_1,KIM200,2,3.443694153445683,2.927716193741342,0.10041887927003618,2013-10-13,13.126639747960628,12.411029351991452,-5091.801194780535,3.693294613901665,1.0040896477387633,1.8047623185057056,3.836108473037263,1.0034401056216935,Nov-Jan
